"id","- name","- location","building","mediacentre group"
"-lang-en","Name","Location","Building","Media Centre Group"
"-lang-es","Nombre","Location","Edificio","Media Centre Group"
"-lang-de","Name","Raum","Gebäude","Technischer Bereich"
"Crawford-1","Crawford 1","Lecture Theater 1","Crawford House","crawford"
"Kilburn-1.1","Kilburn 1.1","Lecture Theater 1.1","Kilburn Building","crawford"
"HBS-Cordingly","HBS Cordingly","Cordingly Lecture Theater","Humanities Bridgeford Street","humanities"
"MC-G20","Mansfield Cooper G20","Lecture Theater G20","Mansfield Cooper","stopford"
"Stopford-1","Stopford 1","Lecture Theater 1","Stopford","stopford"
"Stopford-2","Stopford 2","Lecture Theater 2","Stopford","stopford"
"Stopford-6","Stopford 6","Lecture Theater 6","Stopford","stopford"
"University-Place-A","University Place A","Lecture Theater A","University Place","uniplace"
"University-Place-B","University Place B","Lecture Theater B","University Place","uniplace"
"Devonshire-House-1.023","Devonshire House 1.023","Room 1.023","Devonshire House","mtt"
"Test-espresso","Test Espresso","Room 1.023","Devonshire House","mtt"
"Roscoe-A","Roscoe A","Lecture Theater A","Roscoe Building","uniplace"
